"IEA fossil fuel subsidies database","","","","","","","","","","","","","","",""
"© 2024 IEA","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Unit: Real 2023 million USD","","","","","","","","","","","","","","",""
"","","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Total","All Products","465,740","537,934","596,315","547,396","489,554","375,513","328,234","367,101","512,471","423,146","262,677","588,486","1,177,926","616,392"
"Oil","Oil","194,660","268,885","308,707","289,480","252,979","152,320","114,437","158,788","210,327","192,244","124,476","190,185","345,767","234,795"
"Electricity","Electricity","154,571","157,714","155,555","139,178","132,318","130,947","153,678","140,956","182,641","155,034","77,350","221,183","446,149","216,977"
"Gas","Natural Gas","113,330","108,192","128,287","116,644","102,867","90,930","58,103","64,680","116,536","73,368","58,642","172,693","376,559","162,516"
"Coal","Coal","3,179","4,280","3,766","2,095","1,389","1,316","2,017","2,677","2,967","2,501","2,210","4,424","9,451","2,103"
"","","","","","","","","","","","","","","",""
"Country","Product","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Algeria","Oil","9,546.4","9,704.7","12,168.6","13,299.2","12,295.1","8,431.2","4,656.2","5,970.6","11,436.8","10,816.1","6,673.0","10,295.3","16,367.3","12,514.7"
"Algeria","Electricity","1,626.7","1,828.7","2,216.7","2,685.0","2,760.7","2,823.2","1,845.6","2,617.9","4,149.8","2,655.5","1,797.3","7,622.1","16,096.9","5,491.0"
"Algeria","Gas","2,622.6","3,155.5","3,635.4","3,364.7","2,815.4","2,582.0","1,648.9","2,220.0","4,442.9","2,393.1","1,418.5","9,406.5","24,471.7","8,590.2"
"Algeria","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Algeria","Total","13,795.7","14,688.9","18,020.8","19,348.9","17,871.1","13,836.3","8,150.6","10,808.5","20,029.5","15,864.6","9,888.8","27,323.8","56,935.9","26,595.9"
"Angola","Oil","852.6","869.2","966.8","1,410.1","1,364.1","28.5","2.3","5.6","1,318.5","1,211.4","1,414.9","2,987.9","2,775.8","3,563.8"
"Angola","Electricity","227.0","276.2","373.1","428.9","223.6","142.3","495.5","193.5","524.1","377.5","930.7","1,472.2","1,539.8","1,424.3"
"Angola","Gas","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Angola","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Angola","Total","1,079.6","9.0","1,339.8","1,839.0","1,587.7","170.8","497.8","199.1","1,842.6","1,588.9","2,345.6","4,460.1","4,315.6","4,988.1"
"Argentina","Oil","2,282.1","2,821.1","1,504.5","2,054.0","3,128.4","2,720.7","2,575.3","2,985.8","3,915.2","4,147.5","2,894.8","5,376.4","8,966.5","573.1"
"Argentina","Electricity","4,449.8","5,398.6","5,631.7","6,942.6","6,658.4","4,136.7","2,218.8","625.6","1,090.3","-","725.0","6,037.5","4,731.8","4,527.0"
"Argentina","Gas","4,160.1","5,589.6","4,929.6","5,746.3","4,781.6","2,937.2","634.7","541.0","1,801.8","1,542.8","116.4","6,150.4","7,475.2","3,962.0"
"Argentina","Coal","0.0","-","-","0.8","0.6","0.2","1.3","1.3","2.7","-","1.4","2.5","2.5","5.9"
"Argentina","Total","10,892.0","13,809.3","12,065.8","14,743.7","14,569.0","9,794.8","5,430.1","4,153.9","6,809.9","5,690.3","3,737.6","17,566.9","21,176.0","9,068.0"
"Azerbaijan","Oil","208.4","722.7","861.4","1,046.9","273.6","39.7","411.1","1,125.2","1,827.5","1,528.7","490.0","710.0","1,837.8","1,556.0"
"Azerbaijan","Electricity","392.7","448.2","533.1","646.6","493.3","858.3","1,058.1","1,147.1","1,449.0","711.7","391.8","2,357.0","4,007.5","1,587.8"
"Azerbaijan","Gas","696.7","901.6","874.8","899.1","731.8","789.9","833.6","880.2","1,266.1","773.6","486.3","2,811.3","4,767.9","1,930.0"
"Azerbaijan","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Azerbaijan","Total","1,297.8","2,072.4","2,269.3","2,592.6","1,498.6","1,687.9","2,302.7","3,152.6","4,542.7","3,014.0","1,368.1","5,878.3","10,613.3","5,073.8"
